iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,'6.227.22\x008.115/2',RELIABILITY,1,-1
2,0.094,'6.227.22\x008.11{5/2',RELIABILITY,0,-1
3,0.110,'6.227.22\x008.115/2',RELIABILITY,0,-1
4,0.125,'6.227.22\x008.11\x005/2',RELIABILITY,0,-1
5,0.141,'122.55.82.1\x0062/26',RELIABILITY,0,-1
6,0.157,'200.\x0036.0.71/8',RELIABILITY,0,-1
7,0.172,'6.227.G22\x008.115/2',RELIABILITY,0,-1
8,0.204,'6.227.22>\x008.115/2',RELIABILITY,0,-1
9,0.204,'95.\x00235.125.93/21',RELIABILITY,0,-1
10,0.219,'6.227.22\x008.115/2',RELIABILITY,0,-1
11,0.250,'252.112.24\x006.3/11',RELIABILITY,0,-1
12,0.250,'6.227.22\x008/115.2',RELIABILITY,0,-1
13,0.282,'6.227.22\x008.115/2',RELIABILITY,0,-1
14,0.282,'176.243.96.171\x00/14',RELIABILITY,0,-1
15,0.297,'6.227.22\x008',RELIABILITY,0,-1
16,0.329,'6.227.22\x008.1>15/2',RELIABILITY,0,-1
17,0.360,'63.10\x008.223.231/32',RELIABILITY,0,-1
18,0.407,'6.227.22\x008.>115/2',RELIABILITY,0,-1
19,0.438,'6.227.22\x008.115/2',RELIABILITY,0,-1
20,0.500,"""6.227.2'2\x008.115/2""",RELIABILITY,0,-1
21,0.579,'6.2&27.22\x008.115/2',RELIABILITY,0,-1
22,0.579,'6.227.22\x008.\x00115/2',RELIABILITY,0,-1
23,0.594,'6.227.228.11\x005/2',RELIABILITY,0,-1
24,0.625,'6.227.22\x00v8.115/2',RELIABILITY,0,-1
25,0.657,'6.227.22\x008.115\x00/2',RELIABILITY,0,-1
26,0.672,'6.227.27.27.27.27.27.22\x008.115/2',RELIABILITY,0,-1
27,0.672,'6.227.22\x008.115/3',RELIABILITY,0,-1
28,0.688,'68227.22\x00..115/2',RELIABILITY,0,-1
29,0.735,'6.227.22\x008.1115/2',RELIABILITY,0,-1
30,0.750,'201.243.46\x00.162/16',RELIABILITY,0,-1
31,0.813,'6.227.22\x008.115.115.115.115.115/2',RELIABILITY,0,-1
32,0.844,'101.\x00118.250.183/19',RELIABILITY,0,-1
33,0.875,'6.227.22\x008.115/2',RELIABILITY,0,-1
34,0.954,'6.227.22\x008.115/y2',RELIABILITY,0,-1
35,1.032,'6.||227.22\x008.115/2',RELIABILITY,0,-1
36,1.125,']6.227.22\x008.115/2',RELIABILITY,0,-1
37,1.250,'125.\x00128.46.14/27',RELIABILITY,0,-1
38,1.266,'185.157.208.106/\x0022',RELIABILITY,0,-1
39,1.282,'192.0.20.64\x00/26',RELIABILITY,0,-1
40,1.375,'125.1\x0028.46.14/27',RELIABILITY,0,-1
41,1.391,'75.24.54.41/1\x002',RELIABILITY,0,-1
42,1.407,'171.65\x00.64.204/14',RELIABILITY,0,-1
43,1.438,'135.81.232.234/3\x00',RELIABILITY,0,-1
44,1.500,'6.227.22\x008.135/2',RELIABILITY,0,-1
45,1.500,'6.227.22\x008.&&115/2',RELIABILITY,0,-1
46,1.547,'6.227.22\x008.115/2',RELIABILITY,0,-1
47,1.563,'122.55.82.162/2\x006',RELIABILITY,0,-1
48,1.594,'125.128.46.14/\x0027',RELIABILITY,0,-1
49,1.610,'9999999999999999999999996.227.22\x008.115/2',RELIABILITY,0,-1
50,1.657,'6.227.22\x008.115/u2',RELIABILITY,0,-1
51,1.688,'\x00252.112.246.3/11',RELIABILITY,0,-1
52,1.735,'6.999999999999999999999999227.22\x008.115/2',RELIABILITY,0,-1
53,1.813,'19\x002.0.2.170-175',RELIABILITY,0,-1
54,1.813,'63.1\x0008.223.231/32',RELIABILITY,0,-1
55,1.813,'135.81.232.23\x004/3',RELIABILITY,0,-1
56,1.875,'63.108.223.231/\x0032',RELIABILITY,0,-1
57,1.922,'6.227.22\x008.1152\x008.1152\x008.1152\x008.1152\x008.1152\x008.1152\x008.1152\x008.1152\x008.1152\x008.115/2',RELIABILITY,0,-1
58,1.922,'6.227.22\x008.115/2',RELIABILITY,0,-1
59,1.938,'6.227.22\x008.t115/2',RELIABILITY,0,-1
60,2.000,'151.128.202.183\x00/18',RELIABILITY,0,-1
61,2.000,'192.0.2.170-175\x00',RELIABILITY,0,-1
62,2.047,'6.227.22\x008.115/2',RELIABILITY,0,-1
63,2.094,'6.227.22\x008.11%005/2',RELIABILITY,0,-1
64,2.125,'6.2\x127.22\x008.115/2',RELIABILITY,0,-1
65,2.125,'6.227.22\x008.115/2',RELIABILITY,0,-1
66,2.141,'6®227.22\x008.115/2',RELIABILITY,0,-1
67,2.188,'70\x00.94.22.233/5',RELIABILITY,0,-1
68,2.219,'114.1\x0047.47.101/8',RELIABILITY,0,-1
69,2.219,'192\x00.0.2.[5678]',RELIABILITY,0,-1
70,2.250,'192.0.2.170-1\x0075',RELIABILITY,0,-1
71,2.329,'52.10\x000.101.219/22',RELIABILITY,0,-1
72,2.391,'6.227.22\x00',RELIABILITY,0,-1
73,2.407,'6.227.22\x008.117.22\x008.117.22\x008.117.22\x008.117.22\x008.117.22\x008.115/2',RELIABILITY,0,-1
74,2.422,'6.\x00227.22\x008.115/2',RELIABILITY,0,-1
75,2.438,'6.227.22\x008.1\x115/2',RELIABILITY,0,-1
76,2.500,'6.227.22\x0027.22\x0027.22\x0027.22\x0027.22\x0027.22\x0027.22\x008.115/2',RELIABILITY,0,-1
77,2.547,'6.227.22\x008.112/5',RELIABILITY,0,-1
78,2.563,'6.2.2.227.22\x008.115/2',RELIABILITY,0,-1
79,2.594,'6.227.22\x008.115/2',RELIABILITY,0,-1
80,2.594,'192\x00.0.2.18',RELIABILITY,0,-1
81,2.610,'192.0.2.[5\x00678]',RELIABILITY,0,-1
82,2.797,'6.227.2Z2\x008.115/2',RELIABILITY,0,-1
83,2.907,'114.192.170\x00.210/31',RELIABILITY,0,-1
84,2.969,"'6.227.22\x008.115/""'",RELIABILITY,0,-1
85,3.282,'6&227.22\x008.115/2',RELIABILITY,0,-1
86,3.532,'6.%227.22\x008.115/2',RELIABILITY,0,-1
87,3.704,'\x00252.112.246.3/11',RELIABILITY,0,-1
88,3.719,'101.118.2\x0050.183/19',RELIABILITY,0,-1
89,3.766,'173.125.212.253\x00/14',RELIABILITY,0,-1
90,3.813,'6.227.22\x008.135/2',RELIABILITY,0,-1
91,4.313,'5.114.\x00106.227/4',RELIABILITY,0,-1
92,4.344,'171.65.6\x004.204/14',RELIABILITY,0,-1
93,4.469,'6\x00.227.228.115/2',RELIABILITY,0,-1
94,4.657,'153.\x00237.107.126/7',RELIABILITY,0,-1
95,4.766,'6.227.22\x008.115\r/2',RELIABILITY,0,-1
96,4.813,'192.0.2.1\x008',RELIABILITY,0,-1
97,5.016,'52.100.\x00101.219/22',RELIABILITY,0,-1
98,5.047,'200.36.0.71\x00/8',RELIABILITY,0,-1
99,5.047,'6.227.22\x008.&&115/2',RELIABILITY,0,-1
100,5.094,'200.36.0.71\x00/8',RELIABILITY,0,-1
101,5.094,'185.157.208.10\x006/22',RELIABILITY,0,-1
102,5.157,'185.157.208.106/\x0022',RELIABILITY,0,-1
103,5.188,'101.1\x0018.250.183/19',RELIABILITY,0,-1
104,5.407,'95.235.125.93\x00/21',RELIABILITY,0,-1
105,5.438,'6.227.22\x008.115/2',RELIABILITY,0,-1
106,5.500,'192.\x000.2.8[0-5]',RELIABILITY,0,-1
107,5.547,'6.227.22\x008.115/ÿ2',RELIABILITY,0,-1
108,5.719,'135.\x0081.232.234/3',RELIABILITY,0,-1
109,5.907,'6.227.2.2.2.2.2.2.2.22\x008.115/2',RELIABILITY,0,-1
110,6.141,'19\x002.0.2.8[0-5]',RELIABILITY,0,-1
111,6.172,'12\x002.55.82.162/26',RELIABILITY,0,-1
112,6.188,'6.227.22\x008.115/',RELIABILITY,0,-1
113,6.500,'6.227.22\x008=.115/2',RELIABILITY,0,-1
114,6.625,'192.0.2.170-175\x00',RELIABILITY,0,-1
115,6.672,'6.227.22\n\x008.115/2',RELIABILITY,0,-1
116,6.719,'234.20.243.\x00231/7',RELIABILITY,0,-1
117,6.735,'114.1\x0047.47.101/8',RELIABILITY,0,-1
118,6.782,'192.0.2.[5678\x00]',RELIABILITY,0,-1
119,6.797,'200.36.0.7\x001/8',RELIABILITY,0,-1
120,6.829,'101.118.250.183/19\x00',RELIABILITY,0,-1
121,6.844,'6.22{7.22\x008.115/2',RELIABILITY,0,-1
122,6.875,'114.192.170.\x00210/31',RELIABILITY,0,-1
123,7.094,'6.227.22\x008.115%00/2',RELIABILITY,0,-1
124,7.235,'20\x001.243.46.162/16',RELIABILITY,0,-1
125,7.282,'6.227.22\x008.115/2',RELIABILITY,0,-1
126,7.344,'6.22\x00.2278.115/2',RELIABILITY,0,-1
127,7.454,'135.81.232.234/3\x00',RELIABILITY,0,-1
128,7.516,'52.100.101.21\x009/22',RELIABILITY,0,-1
129,7.594,"""6.227.22\x008.115/2'""",RELIABILITY,0,-1
130,7.657,'6.227.22\x008.1s15/2',RELIABILITY,0,-1
131,7.907,'192.0.2.8[0-5\x00]',RELIABILITY,0,-1
132,8.110,'122.5\x005.82.162/26',RELIABILITY,0,-1
133,8.172,'201.243.46.162/1\x006',RELIABILITY,0,-1
134,8.266,'176.243.96.171/1\x004',RELIABILITY,0,-1
135,8.360,'114.192\x00.170.210/31',RELIABILITY,0,-1
