iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,'191.113.134.5\x000',RELIABILITY,1,-1
2,0.000,'191.113.134.5\x000',RELIABILITY,0,-1
3,0.016,'191.113.134.5\x000.extra',RELIABILITY,0,-1
4,0.032,'191®113.134.5\x000',RELIABILITY,0,-1
5,0.047,'191.113.134.5\x000.113.134.5\x000.113.134.5\x000.113.134.5\x000.113.134.5\x000',RELIABILITY,0,-1
6,0.079,'191.113.134.5\x000',RELIABILITY,0,-1
7,0.079,'255.255.255.2\x0055',RELIABILITY,0,-1
8,0.235,'191.113.134.5\x000',RELIABILITY,0,-1
9,0.344,'191.113.134.5\x000.extra',RELIABILITY,0,-1
10,0.360,'1\x191.113.134.5\x000',RELIABILITY,0,-1
11,0.469,'191.1\\13.134.5\x000',RELIABILITY,0,-1
12,0.500,'191\t.113.134.5\x000',RELIABILITY,0,-1
13,0.547,'191.113.134.5\x000',RELIABILITY,0,-1
