Timestamp,Iteration,Coverage_Metric,New_Paths_Found
2026-03-22 20:24:55,2.0,2.0,2.0,1
2026-03-22 20:25:07,4.0,4.0,4.0,2
2026-03-22 20:25:19,4.0,4.0,4.0,3
2026-03-22 20:25:30,4.0,4.0,4.0,4
2026-03-22 20:25:42,4.0,4.0,4.0,5
2026-03-22 20:25:55,6.0,6.0,6.0,6
2026-03-22 21:12:29,2.0,2.0,2.0,1
2026-03-22 21:12:41,4.0,4.0,4.0,2
2026-03-22 21:12:53,6.0,6.0,6.0,3
2026-03-22 21:13:05,8.0,8.0,8.0,4
2026-03-22 21:13:22,10.0,10.0,10.0,5
2026-03-22 21:13:35,12.0,12.0,12.0,6
2026-03-22 21:13:47,14.0,14.0,14.0,7
2026-03-22 21:13:59,16.0,16.0,16.0,8
2026-03-22 21:14:11,18.0,18.0,18.0,9
2026-03-22 21:14:23,20.0,20.0,20.0,10
2026-03-24 12:37:13,2.0,2.0,2.0,1
2026-03-24 12:43:54,2.0,2.0,2.0,1
2026-03-24 12:47:31,2.0,2.0,2.0,1
2026-03-24 12:47:43,4.0,4.0,4.0,2
2026-03-24 12:47:54,4.0,4.0,4.0,3
2026-03-24 12:48:06,6.0,6.0,6.0,4
2026-03-24 12:48:17,8.0,8.0,8.0,5
2026-03-24 12:48:29,10.0,10.0,10.0,6
2026-03-24 12:54:47,2.0,2.0,2.0,1
2026-03-24 12:54:59,4.0,4.0,4.0,2
2026-03-24 12:55:10,6.0,6.0,6.0,3
2026-03-24 12:55:22,8.0,8.0,8.0,4
2026-03-24 12:55:33,10.0,10.0,10.0,5
2026-03-24 12:55:44,12.0,12.0,12.0,6
2026-03-24 13:03:36,2.0,2.0,2.0,1
2026-03-24 13:03:48,4.0,4.0,4.0,2
2026-03-24 13:04:00,6.0,6.0,6.0,3
2026-03-24 13:04:12,8.0,8.0,8.0,4
2026-03-24 13:04:24,10.0,10.0,10.0,5
2026-03-24 13:04:35,12.0,12.0,12.0,6
2026-03-24 13:11:07,2.0,2.0,2.0,1
2026-03-24 13:11:19,4.0,4.0,4.0,2
2026-03-24 13:11:31,6.0,6.0,6.0,3
2026-03-24 13:11:42,6.0,6.0,6.0,4
2026-03-24 13:11:54,8.0,8.0,8.0,5
2026-03-24 13:12:10,8.0,8.0,8.0,6
2026-03-24 13:32:01,2.0,2.0,2.0,1
2026-03-24 13:32:13,4.0,4.0,4.0,2
2026-03-24 13:32:24,6.0,6.0,6.0,3
2026-03-24 13:32:36,8.0,8.0,8.0,4
2026-03-24 13:32:48,10.0,10.0,10.0,5
2026-03-24 13:33:00,12.0,12.0,12.0,6
2026-03-24 14:09:26,2.0,2.0,2.0,1
2026-03-24 14:09:37,4.0,4.0,4.0,2
2026-03-24 14:09:49,6.0,6.0,6.0,3
2026-03-24 14:10:00,6.0,6.0,6.0,4
2026-03-24 14:10:12,6.0,6.0,6.0,5
2026-03-24 14:10:23,6.0,6.0,6.0,6
2026-03-24 15:54:50,2.0,2.0,2.0,1
2026-03-24 15:55:02,4.0,4.0,4.0,2
2026-03-24 15:55:06,6.0,6.0,6.0,3
