iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,"'{""LeQM"": ""False"", ""rHsLgPZ"": ""True"", ""gEAVXMZePyriMm"": """", ""RXUuFiHiTtN"": """", ""p"": ""False"", ""LJY"": -63315844:}'",INVALIDITY,1,0
2,0.668,"'{""__complex__"": true, ""real"": 1, ""imag""g""g""g""g""g""g""g""g""g"": 2}'",INVALIDITY,1,0
3,1.344,"'{""SMRjJMYbKqnNg"": ""[\'92\', \'33\', \'jtuTMomMdHF'",INVALIDITY,1,0
4,3.305,"'{""json"":""obj""999999999999999999999999}'",INVALIDITY,1,0
5,4.681,'{bad json}',INVALIDITY,1,0
6,8.007,"'{""__complex__"": true, ""real"": 1, ""imag""g""g""g""g""g""""g""""g""""g""""g""""g""g""g""g""g"": 2}'",INVALIDITY,0,0
7,8.621,'{bad json}',INVALIDITY,0,0
8,9.844,"'{""hIEAwttBaMDEewsoM"": ""[\'6\', \'pbQEExvaKdmNuxNkAkuJtOTMZgPkNuCmFsyEBXyuqIFRgflahaSzKqreUSJuzjSMgAZeeOtBiHmA\']"", ""TQt",INVALIDITY,1,0
9,10.442,'{bad json}',INVALIDITY,0,0
10,11.638,"'{""hIEAwttBaMDEewsoM"": ""[\'6\', \'pbQEExvaKdmNuxNkAkuJtOTMZgPkNuCmFsyEBXyuqIFRgflahaSzKqreUSJuzjSMgAZeeOtBiHmA\']"", ""TQt",INVALIDITY,0,0
11,13.435,"'{""SMRjJMYbKqnNg"": ""[\'92\', &33\', \'jtuTMomMdHF'",INVALIDITY,0,0
12,14.034,"'{""hIEAwttBaMDEewsoM"": ""[\'6\', \'pbQEExvaKdmNuxNkAkuJtOTMZgPkNuCmFsyEBiyuqIFRgflahaSzKqreUSJuzjSMgAZeeOtBXHmA\']"", ""TQt",INVALIDITY,0,0
13,14.623,"'{""vmrsqnZx"": ""True"", ""txDN'",INVALIDITY,0,0
14,15.257,"'{""wSQhbScgEfdJyd"": ""DLYbOvGvGGqPlVqtGvoJOdZLttYPgpKBvpNiovlUciGgUeUhwBJIWfjPUFhiKDCUEHlzrUhhGE"", ""TPyS"": ""FJlomdXgAOThe",INVALIDITY,0,0
15,16.449,"'{""unclosed"": '",INVALIDITY,0,0
16,17.649,'{bed json}',INVALIDITY,0,0
17,18.241,"'{""Vzx"": ""[\'Fal'",INVALIDITY,0,0
18,18.866,'{bad json}',INVALIDITY,0,0
19,20.050,"'{""json"":""obj""999999999999999999999999}'",INVALIDITY,0,0
20,20.675,"'{""QtKPCzFAdhcutHRCIO"": """", ""zfsLIlgqdIqZLwr"": ""[""\'null\', \'True\', \'True\', \'OnoWINAwxSkLbGktsH\']"", ""O"": """", ""hGcM",INVALIDITY,0,0
21,23.072,"'{""uMRjJMYbKqnNg"": ""[\'92\', \'33\', \'jtSTMomMdHF'",INVALIDITY,0,0
